target,text
4,love Kindle cool fantastic right
4,Reading kindle Love childs good read
4,first assesment kindle fucking rocks
4,love Kindle mine months never looked back huge need remorse Happy
4,Fair enough Kindle think perfect Happy
4,quite happy Kindle
0,Fuck economy hate loan given asses
4,Jquery best friend
4,Loves twitter
4,love Obama makes jokes
2,Check video President Obama White House Correspondents Dinner
0,firmly believe Obama Pelosi ZERO desire civil charade slogan want destroy conservatism
4,House Correspondents dinner last night whoopi barbara sherri went Obama standing ovation
4,Watchin Espn seen Nike Commerical Puppet Lebron hilarious LMAO
0,dear nike stop flywire shit waste science ugly love
4,lebron best athlete generation time basketball related want inter sport debates
0,talking last night telling hard Spurs also told hates LeBron James
4,love lebron
0,Lebron Beast still cheering
4,lebron BOSS
4,Lebron hometown hero love Lakers Cavs
4,lebron zydrunas awesome
4,Lebron beast nobody comes even close
4,downloading apps iphone much literally anything
4,good news call Visa office saying everything fine relief sick scams Stealing
4,awesome come back
4,montreal long weekend Much needed
4,Booz Allen Hamilton homegrown social collaboration platform cool ttiv
4,MLUC Customer Innovation Award Winner Booz Allen Hamilton
4,current Nikon love much Canon chose video feature mistake
2,need suggestions good filter canon
2,checked google business blip shows second entry good
4,Google always good place look mentioned worked Mustang
0,Played android google phone slide screen scares would break fucker fast Still prefer iPhone
0,planning resume military tribunals Guantanamo time trial execs Chrysler debt holders
0,bored tattos itchy help
0,itchy miserable
0,itchy Maybe later
4,love nerdy Stanford human biology videos makes miss school
4,crazy steep learning curve really good long docs anything shorter would insane
4,listening Danny Gokey amazing much Happy
4,going sleep bike ride
0,cant sleep tooth aching
0,Blah blah blah plans today going back sleep guess
0,glad didnt Breakers today freaking degrees Francisco
2,Francisco Breakers
2,landed Francisco
2,Francisco today suggestions
0,Obama Administration Must Stop Bonuses Ponzi Schemers
0,started think Citi really deep gonna survive turmoil gonna next
0,ShaunWoo hate
4,regret going Star Trek AWESOME
2,Star Trek Esquire
2,Going star trek soon
0,annoying trend internets people picking apart michael lewis malcolm gladwell nobody wants read
2,Bill Simmons conversation Malcolm Gladwell
4,Highly recommend Malcolm Gladwell
4,Blink malcolm gladwell amazing book tipping point
4,Malcolm Gladwell might crush
0,commercials alone ESPN going drive nuts
4,Playing Twitter sounds need take class find friend like generate results code
2,playing cURL Twitter
4,Hello Twitter Wink
2,playing Java Twitter
0,twitter slow client good
0,yahoo answers butt sometimes
4,scrapbooking
4,Five Things Wolfram Alpha Better Vastly Different Google
4,changed default Nike basketball cause bball awesome
2,Nike owns Playoffs LeBron Kobe Carmelo Adidas Billups Howard Marketing Branding
2,Next time call Nike
2,blog post Nike Dunk Premium White
0,told Nike layoffs started today Frowning
4,Back worked Nike word Happy
4,totally inspired freaky Nike commercial
2,giving weka engine interface using bird strike data tests logo given
2,Brand Canon DSLR Camera Canon Lens Technology Thread Brand Canon
4,Class supposed come today Happy
0,needs someone explain lambda calculus
0,Took Graduate Field Exam Computer Science today Nothing makes feel like idiot lambda calculus
4,SHOUT OUTS EAST PALO ALTO BUILDIN KARIZMAKAZE ALSO THANKS PROFITS DOOM UNIVERSAL HEMPZ CRACKA
0,Yeah really lived East Palo Alto could avoided guess summer
4,Great Stanford course Thanks making available public Really helpful informative starting
2,NVIDIA Names Stanford Bill Dally Chief Scientist Research
2,blog post Harvard Versus Stanford Wins
4,work lets lakers
0,Damn North Korea
0,ahead blow North Korea already
0,North Korea please cease douchebaggery China even like anymore
0,hell Pelosi freakin China whose dime
0,burning cash Chrysler Stop financial tsunami bailout means taking handout
0,insects infected spinach plant
0,wish could catch every mosquito world burn slowly bitin shit outta mosquitos assholes insects
0,back church totally hate insects
0,mcdonalds goddam eggs make sick yeah Laker date lakers much update Well true suck
4,omgg ohhdee want mcdonalds damn wonder open
0,History exam studying
0,hate revision boring totally unprepared exam tomorrow Things looking good
0,Higher physics exam tommorow lookin forward much
0,bank holiday work Exam season sucksSad
0,Cheney Bush real culprits
0,Life bitch Dick Cheney bipart tlot tcot hhrs GOP DNC
0,Dick Cheney dishonest speech torture terror Obama Fred Kaplan Slate
0,Republican party bunch anti abortion zealots draw flies dump Neal Boortz radio
0,Twitter connections broken tweets make Twitter
0,srsly hate stupid twitter timeout thing annoying
4,really liked Learning jQuery book worth look
2,jQuery Book Review
4,Interesting Adobe Goodby Silverstein Partners YouTube Adobe Sens Propre
4,Goodby Silverstein agency site Great
4,Goodby Silverstein site enjoy nice find
4,ever amazing Psyop Goodby Silverstein Partners play Effects
4,watched Viral Video Chart Love nike mostvaluablepuppets campaign Wieden Kennedy
4,zomg
4,lots buzz lucky Free
4,free android google
4,Guess retiring start using developer woot googleio
2,fireside chat
4,happy Philip GoogleIO today
4,Lakers played great Cannot wait Thursday night Lakers
2,anyone great source advice viral marketing
4,Judd Apatow creates fake sitcom market movie viral marketing best
2,case study viral marketing people list
0,VIRAL MARKETING FAIL Acia Pills brand oughta shut hacking people messenger msgs Argh
4,watching Night Museum Lmao
4,loved night museum
2,going night museum movie family three year movies fuin
4,back movies went night museum rachel good
2,Night Museum movie okay
2,Going night museum tall
4,take date night museum whenever want looks good
4,watching Night Museum Getting Really Good
